iter	Passed	Remaining
434	1560	2026
435	1562	2020
436	1564	2015
437	1565	2009
438	1568	2003
439	1569	1997
440	1571	1991
441	1573	1985
442	1574	1980
443	1576	1974
444	1579	1969
445	1582	1965
446	1583	1959
447	1585	1954
448	1587	1948
449	1589	1942
450	1591	1936
451	1592	1931
452	1594	1925
453	1596	1920
454	1598	1914
455	1600	1909
456	1601	1903
457	1603	1897
458	1605	1892
459	1607	1886
460	1608	1881
461	1611	1876
462	1613	1871
463	1615	1865
464	1616	1860
465	1621	1858
466	1623	1853
467	1627	1849
468	1629	1844
469	1631	1840
470	1635	1836
471	1637	1832
472	1639	1827
473	1644	1824
474	1646	1819
475	1648	1814
476	1651	1810
477	1653	1805
478	1655	1800
479	1658	1796
480	1660	1792
481	1663	1788
482	1666	1783
483	1668	1778
484	1670	1774
485	1673	1769
486	1675	1765
487	1678	1761
488	1680	1756
489	1682	1751
490	1684	1746
491	1686	1740
492	1688	1736
493	1690	1731
494	1692	1726
495	1694	1721
496	1695	1716
497	1697	1711
498	1699	1706
499	1700	1700
500	1703	1696
501	1706	1693
502	1713	1692
503	1718	1690
504	1719	1685
505	1721	1680
506	1724	1677
507	1726	1672
508	1728	1667
509	1733	1665
510	1735	1660
511	1741	1659
512	1754	1665
513	1756	1660
514	1762	1660
515	1765	1655
516	1767	1651
517	1773	1650
518	1776	1646
519	1781	1644
520	1784	1640
521	1915	1754
522	1918	1749
523	1920	1744
524	1925	1742
525	1928	1737
526	1933	1735
527	1935	1730
528	1940	1727
529	1942	1722
530	1947	1719
531	1949	1715
532	1954	1712
533	2079	1814
534	2093	1819
535	2106	1823
536	2108	1818
537	2123	1823
538	2138	1829
539	2145	1827
540	2183	1852
541	2198	1857
542	2213	1862
543	2228	1868
544	2332	1947
545	2335	1941
546	2338	1936
547	2344	1933
548	2347	1928
549	2352	1924
550	2355	1919
551	2357	1912
552	2358	1906
553	2360	1900
554	2362	1894
555	2367	1890
556	2369	1884
557	2371	1878
558	2373	1872
559	2375	1866
560	2376	1860
561	2378	1853
562	2384	1850
563	2386	1844
564	2387	1838
565	2389	1832
566	2391	1826
567	2392	1819
568	2394	1813
569	2400	1810
570	2401	1804
571	2403	1798
572	2406	1793
573	2407	1787
574	2409	1781
575	2415	1777
576	2419	1774
577	2421	1768
578	2423	1762
579	2427	1757
580	2430	1752
581	2433	1747
582	2434	1741
583	2436	1735
584	2438	1729
585	2439	1723
586	2444	1720
587	2446	1714
588	2448	1708
589	2450	1702
590	2452	1697
591	2454	1691
592	2455	1685
593	2457	1679
594	2459	1674
595	2461	1668
596	2463	1662
597	2465	1657
598	2470	1653
599	2472	1648
600	2473	1642
601	2475	1636
602	2477	1631
603	2478	1625
604	2480	1619
605	2486	1616
606	2488	1611
607	2489	1605
608	2491	1599
609	2493	1594
610	2494	1588
611	2496	1583
612	2499	1578
613	2501	1572
614	2503	1566
615	2504	1561
616	2506	1555
617	2508	1550
618	2512	1546
619	2514	1541
620	2518	1536
621	2520	1531
622	2522	1526
623	2523	1520
624	2528	1516
625	2531	1512
626	2533	1507
627	2535	1501
628	2537	1496
629	2539	1491
630	2542	1487
631	2545	1482
632	2555	1481
633	2561	1478
634	2562	1473
635	2564	1467
636	2566	1462
637	2567	1457
638	2569	1451
639	2571	1446
640	2573	1441
641	2575	1436
642	2578	1431
643	2580	1426
644	2582	1421
645	2586	1417
646	2597	1417
647	2599	1412
648	2601	1407
649	2603	1401
650	2605	1396
651	2608	1392
652	2609	1386
653	2611	1381
654	2613	1376
655	2615	1371
656	2617	1366
657	2619	1361
658	2620	1356
659	2622	1350
660	2624	1345
661	2625	1340
662	2627	1335
663	2629	1330
664	2633	1326
665	2636	1322
666	2639	1317
667	2640	1312
668	2642	1307
669	2645	1303
670	2647	1298
671	2649	1293
672	2651	1288
673	2652	1283
674	2654	1278
675	2655	1272
676	2657	1268
677	2660	1263
678	2662	1258
679	2664	1253
680	2765	1295
681	2782	1297
682	2784	1292
683	2787	1287
684	2790	1283
685	2793	1278
686	2795	1273
687	2798	1269
688	2801	1264
689	2805	1260
690	2808	1255
691	2810	1250
692	2813	1246
693	2816	1241
694	2820	1237
695	2823	1233
696	2825	1228
697	2828	1223
698	2831	1219
699	2834	1214
700	2836	1209
701	2839	1205
702	2842	1200
703	2844	1196
704	2848	1191
705	2850	1187
706	2852	1182
707	2854	1177
708	2855	1172
709	2857	1167
710	2859	1162
711	2861	1157
712	2863	1152
713	2865	1147
714	2870	1144
715	2872	1139
716	2874	1134
717	2876	1129
718	2878	1124
719	2880	1120
720	2881	1115
721	2884	1110
722	2886	1105
723	2890	1101
724	2892	1097
725	2899	1094
726	2901	1089
727	2903	1084
728	2905	1080
729	2907	1075
730	2909	1070
731	2910	1065
732	2912	1060
733	2914	1056
734	2916	1051
735	2918	1046
736	2920	1042
737	2921	1037
738	2923	1032
739	2925	1027
740	2927	1023
741	2928	1018
742	2930	1013
743	2932	1008
744	2933	1004
745	2935	999
746	2937	994
747	2939	990
748	2940	985
749	2942	980
750	2944	976
751	2946	971
752	2948	967
753	2950	962
754	2952	957
755	2953	953
756	2955	948
757	2957	944
758	2958	939
759	2960	934
760	2962	930
761	2964	926
762	2966	921
763	2968	916
764	2969	912
765	2971	907
766	2973	903
767	2974	898
768	2976	894
769	2978	889
770	2980	885
771	2982	880
772	2983	876
773	2985	871
774	2987	867
775	2988	862
776	2990	858
777	2992	853
778	2994	849
779	2997	845
780	2999	841
781	3001	836
782	3002	832
783	3004	827
784	3006	823
785	3008	819
786	3010	814
787	3011	810
788	3013	805
789	3014	801
790	3016	796
791	3018	792
792	3019	788
793	3021	783
794	3023	779
795	3025	775
796	3026	770
797	3028	766
798	3030	762
799	3031	757
800	3033	753
801	3035	749
802	3036	745
803	3039	740
804	3042	736
805	3046	733
806	3049	729
807	3051	725
808	3053	720
809	3055	716
810	3056	712
811	3058	708
812	3061	704
813	3062	699
814	3065	695
815	3068	691
816	3070	687
817	3073	683
818	3075	679
819	3077	675
820	3079	671
821	3081	667
822	3083	663
823	3084	658
824	3086	654
825	3087	650
826	3089	646
827	3091	642
828	3092	637
829	3095	633
830	3097	629
831	3099	625
832	3100	621
833	3102	617
834	3104	613
835	3105	609
836	3108	605
837	3109	601
838	3111	597
839	3113	593
840	3115	588
841	3116	584
842	3118	580
843	3120	576
844	3121	572
845	3123	568
846	3124	564
847	3126	560
848	3128	556
849	3129	552
850	3131	548
851	3132	544
852	3134	540
853	3136	536
854	3137	532
855	3139	528
856	3141	524
857	3143	520
858	3144	516
859	3146	512
860	3147	508
861	3149	504
862	3151	500
863	3153	496
864	3159	493
865	3162	489
866	3164	485
867	3171	482
868	3174	478
869	3176	474
870	3179	470
871	3181	467
872	3184	463
873	3187	459
874	3189	455
875	3193	452
876	3195	448
877	3197	444
878	3222	443
879	3224	439
880	3227	435
881	3229	432
882	3232	428
883	3234	424
884	3236	420
885	3241	417
886	3244	413
887	3249	409
888	3252	406
889	3254	402
890	3257	398
891	3263	395
892	3265	391
893	3268	387
894	3272	383
895	3275	380
896	3278	376
897	3280	372
898	3281	368
899	3283	364
900	3285	360
901	3286	357
902	3288	353
903	3290	349
904	3292	345
905	3294	341
906	3296	337
907	3298	334
908	3299	330
909	3301	326
910	3303	322
911	3304	318
912	3306	315
913	3308	311
914	3310	307
915	3312	303
916	3313	299
917	3315	296
918	3316	292
919	3318	288
920	3320	284
921	3321	281
922	3324	277
923	3325	273
924	3327	269
925	3328	266
926	3330	262
927	3332	258
928	3333	254
929	3335	251
930	3338	247
931	3341	243
932	3342	240
933	3344	236
934	3346	232
935	3347	228
936	3349	225
937	3351	221
938	3353	217
939	3355	214
940	3356	210
941	3358	206
942	3360	203
943	3361	199
944	3363	195
945	3366	192
946	3368	188
947	3370	184
948	3372	181
949	3373	177
950	3375	173
951	3377	170
952	3379	166
953	3380	163
954	3383	159
955	3384	155
956	3386	152
957	3387	148
958	3389	144
959	3391	141
960	3392	137
961	3395	134
962	3397	130
963	3399	126
964	3400	123
965	3402	119
966	3404	116
967	3405	112
968	3407	109
969	3409	105
970	3411	101
971	3412	98
972	3414	94
973	3416	91
974	3418	87
975	3419	84
976	3421	80
977	3423	77
978	3424	73
979	3426	69
980	3428	66
981	3430	62
982	3432	59
983	3433	55
984	3435	52
985	3439	48
986	3441	45
987	3445	41
988	3448	38
989	3452	34
990	3454	31
991	3460	27
992	3465	24
993	3467	20
994	3470	17
995	3474	13
996	3479	10
997	3481	6
998	3485	3
999	3492	0
