iter	Passed	Remaining
434	1656	2151
435	1663	2151
436	1665	2145
437	1666	2138
438	1668	2131
439	1669	2125
440	1671	2119
441	1696	2142
442	1698	2135
443	1700	2128
444	1701	2122
445	1703	2116
446	1709	2114
447	1711	2108
448	1712	2101
449	1714	2095
450	1715	2088
451	1717	2082
452	1718	2075
453	1722	2071
454	1724	2065
455	1726	2059
456	1727	2052
457	1729	2046
458	1731	2040
459	1732	2034
460	1734	2027
461	1738	2024
462	1740	2018
463	1742	2012
464	1743	2006
465	1745	1999
466	1747	1994
467	1748	1988
468	1754	1986
469	1756	1980
470	1758	1974
471	1759	1968
472	1761	1962
473	1763	1956
474	1768	1954
475	1770	1949
476	1772	1943
477	1774	1937
478	1776	1932
479	1777	1926
480	1779	1920
481	1784	1917
482	1786	1911
483	1787	1906
484	1789	1900
485	1791	1894
486	1792	1888
487	1794	1882
488	1799	1880
489	1801	1874
490	1802	1868
491	1807	1866
492	1809	1860
493	1815	1859
494	1817	1854
495	1819	1849
496	1821	1843
497	1822	1837
498	1824	1831
499	1831	1831
500	1833	1826
501	1835	1820
502	1837	1815
503	1839	1809
504	1840	1804
505	1845	1801
506	1846	1795
507	1848	1790
508	1850	1784
509	1851	1779
510	1853	1773
511	1855	1768
512	1863	1769
513	1865	1763
514	1866	1758
515	1868	1752
516	1869	1746
517	1871	1741
518	1895	1756
519	1897	1751
520	1898	1745
521	1900	1739
522	1901	1734
523	1903	1728
524	1909	1727
525	1911	1722
526	1913	1717
527	1914	1711
528	1916	1706
529	1917	1700
530	1919	1695
531	1922	1691
532	1924	1686
533	1926	1681
534	1928	1676
535	1930	1671
536	1932	1665
537	1933	1660
538	1939	1659
539	1941	1653
540	1943	1648
541	1944	1643
542	1946	1638
543	1948	1633
544	1950	1628
545	1954	1624
546	1956	1619
547	1957	1614
548	1959	1609
549	1960	1604
550	1962	1599
551	1963	1593
552	1970	1593
553	1972	1588
554	1974	1583
555	1976	1578
556	1977	1572
557	1979	1567
558	1980	1562
559	1984	1559
560	1986	1554
561	1988	1549
562	1989	1544
563	1992	1540
564	1994	1535
565	1995	1530
566	2000	1527
567	2002	1522
568	2004	1518
569	2005	1513
570	2007	1508
571	2009	1503
572	2010	1498
573	2014	1495
574	2016	1490
575	2018	1485
576	2020	1481
577	2021	1476
578	2023	1471
579	2025	1466
580	2026	1461
581	2030	1458
582	2033	1454
583	2034	1449
584	2036	1444
585	2037	1439
586	2039	1434
587	2041	1430
588	2042	1425
589	2046	1421
590	2047	1417
591	2049	1412
592	2050	1407
593	2052	1403
594	2055	1398
595	2058	1395
596	2060	1390
597	2063	1387
598	2074	1388
599	2078	1385
600	2080	1381
601	2082	1376
602	2094	1379
603	2097	1374
604	2099	1371
605	2103	1367
606	2105	1362
607	2108	1359
608	2140	1374
609	2144	1370
610	2145	1366
611	2158	1368
612	2161	1364
613	2163	1359
